"ResponseId","Gender","Age","Education","LocationLatitude","LocationLongitude","instr_enthusiasm","instr_professional","instr_subject","instr_material","instr_rating","subject_1","subject_2","subject_3","subject_4","video_watched","assigned","assignment","ques_1","ques_2","ques_3","ques_4","quiz_avg","avg_rating"
"R_2WC5vlB2DCvHHrH","Male","30-40","Bachelors degree",52.36689758,4.951705933,3,4,4,4,4,"All of the above","Both A & B","Python is an object oriented programming language","Easy to Learn","Video1-1(Treatment)",1,"Treatment",1,1,0,0,0.5,3.75
"R_x2RQnFD8LZIZuRH","Female","40-50","Associates degree",36.99040222,-85.92389679,4,4,4,4,4,"Web Applications","Both A & B","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Advanced Language","Video3-2(Control)",0,"Control",0,1,1,1,0.75,4
"R_O9f8Af9asil81DH","Female","30-40","Some College No degree",27.99290466,-82.40299988,1,4,3,2,4,"Web Applications","C. A low level implementation programming language","Python is an object oriented programming language","Easy to Learn","Video2-2(Control)",0,"Control",0,0,0,0,0,2.75
"R_3oTqFe6v8l4jV0p","Female","30-40","Some College No degree",36.83070374,-76.31459808,2,2,2,2,2,"Web Applications","B. A flexible programming language","Python was created by Guido van Rossum in 1991","Wonderful Community","Video2-1(Treatment)",1,"Treatment",0,0,0,0,0,2
"R_0ePUcdKMDE2jNe1","Female","30-40","Bachelors degree",39.30369568,-94.93219757,3,1,1,3,2,"Artificial intelligence projects","B. A flexible programming language","Python was created by Guido van Rossum in 1991","Wonderful Community","Video1-2(Control)",0,"Control",0,0,0,0,0,2.25
"R_2owAeGSUxdN9fQR","Female","40-50","Associates degree",44.14149475,-103.2052002,4,4,5,4,4,"Web Applications","B. A flexible programming language","Python is an object oriented programming language","Wonderful Community","Video2-2(Control)",0,"Control",0,0,0,0,0,4
"R_3MR7piXWpVNth0P","Female","30-40","Some College No degree",38.88420105,-76.99410248,3,3,3,3,3,"All of the above","All of the above","Python is an interpreted programming language","Great Starter Language","Video3-2(Control)",0,"Control",1,0,0,0,0.25,3
"R_2OOrkWDRLnqso6u","Female","50+","Some College No degree",42.55799866,-82.9980011,3,3,4,4,4,"All of the above","Both A & B","Python was created by Guido van Rossum in 1991","Great Advanced Language","Video1-1(Treatment)",1,"Treatment",1,1,0,1,0.75,3.5
"R_1IlSEHB9NqCZREX","Female","30-40","Less than High school",41.44529724,-81.69909668,3,3,3,1,2,"All of the above","Both A & B","Python is an interpreted programming language","Easy to Learn","Video3-1(Treatment)",1,"Treatment",1,1,0,0,0.5,2.25
"R_2DOCQLwZmHAitIO","Male","30-40","High school diploma",42.35620117,-71.06310272,3,4,5,5,4,"All of the above","Both A & B","Python was created by Guido van Rossum in 1991","Wonderful Community","Video2-1(Treatment)",1,"Treatment",1,1,0,0,0.5,4
"R_1CefRz8JH3pLb8L","Female","50+","High school diploma",38.54910278,-90.16010284,3,3,4,5,4,"Web Applications","A. A programming language designed to be human readable","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Easy to Learn","Video2-2(Control)",0,"Control",0,0,1,0,0.25,3.75
"R_331rpTOYIzpvIGD","Female","20-30","Some College No degree",28.63439941,-81.62210083,3,3,3,3,3,"All of the above","All of the above","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Advanced Language","Video1-2(Control)",0,"Control",1,0,1,1,0.75,3
"R_239tNg4U2X8tSz0","Female","30-40","Some College No degree",46.57780457,-87.4552002,3,4,4,3,3,"All of the above","Both A & B","Python is an object oriented programming language","Great Advanced Language","Video1-1(Treatment)",1,"Treatment",1,1,0,1,0.75,3.25
