StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Time Demographics_First Click,Time Demographics_Last Click,Time Demographics_Page Submit,Time Demographics_Click Count,Gender,Age,Education,Video Timer_First Click,Video Timer_Last Click,Video Timer_Page Submit,Video Timer_Click Count,Video Timer_First Click,Video Timer_Last Click,Video Timer_Page Submit,Video Timer_Click Count,Video Timer_First Click,Video Timer_Last Click,Video Timer_Page Submit,Video Timer_Click Count,Video Timer_First Click,Video Timer_Last Click,Video Timer_Page Submit,Video Timer_Click Count,Video Timer_First Click,Video Timer_Last Click,Video Timer_Page Submit,Video Timer_Click Count,Video Timer_First Click,Video Timer_Last Click,Video Timer_Page Submit,Video Timer_Click Count,Time Instructor Sect_First Click,Time Instructor Sect_Last Click,Time Instructor Sect_Page Submit,Time Instructor Sect_Click Count,instr_enthusiasm,instr_professional,instr_subject,instr_material,instr_rating,Time Subject Ret_First Click,Time Subject Ret_Last Click,Time Subject Ret_Page Submit,Time Subject Ret_Click Count,subject_1_att_check,subject_1,subject_2,subject_3,subject_4,rid,Create New Field or Choose From Dropdown...,FL_20_DO,FL_29_DO,FL_37_DO,FL_45_DO,FL_53_DO,FL_69_DO,FL_77_DO,FL_85_DO,FL_93_DO,FL_101_DO,video_watched
10/31/21 10:11,10/31/21 10:16,IP Address,62.194.181.56,100,302,TRUE,10/31/21 10:16,R_2WC5vlB2DCvHHrH,,,,,52.36689758,4.951705933,anonymous,EN,2.098,12.793,14,6,Male,30-40,Bachelor‰Ûªs degree,0,0,192.851,0,,,,,,,,,,,,,,,,,,,,,6.369,24.584,25.857,5,3 - moderately enthusiastic,4 - very professional,4 - very knowledgeable,4 - very clearly,4 - very effective,1.694,65.743,66.391,7,Introduction to Python,All of the above,Both A & B,Python is an object oriented programming language,Easy to Learn,617ec01b-7f5e-5b2e-8de8-d9f2f48eb764,,,Video1-1(Treatment),,,,,,,,,Video1-1(Treatment)
10/31/21 10:19,10/31/21 10:22,IP Address,64.130.146.85,100,234,TRUE,10/31/21 10:22,R_x2RQnFD8LZIZuRH,,,,,36.99040222,-85.92389679,anonymous,EN,7.501,11.501,12.455,7,Female,40-50,Associate‰Ûªs degree,,,,,,,,,,,,,,,,,,,,,57.726,182.19,193.278,21,2.301,8.713,12.841,10,4 - very enthusiastic,4 - very professional,4 - very knowledgeable,4 - very clearly,4 - very effective,2.966,12.167,12.7,9,Introduction to Python,Web Applications,Both A & B,Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages,Great Advanced Language,617ec215-2ae6-19a5-dd94-7a7bf9728f05,,,,,,,,,Video3-2(Control),,,Video3-2(Control)
10/31/21 10:19,10/31/21 10:23,IP Address,172.56.27.142,100,253,TRUE,10/31/21 10:23,R_O9f8Af9asil81DH,,,,,27.99290466,-82.40299988,anonymous,EN,2.212,11.911,12.877,7,Female,30-40,"Some College, No degree",,,,,,,,,,,,,11.134,208.136,210.625,49,,,,,,,,,2.002,10.357,11.247,12,1 - not enthusiastic,4 - very professional,3 - moderately knowledgeable,2 - slightly clearly,4 - very effective,1.062,14.164,14.749,15,Introduction to Python,Web Applications,C. A low level implementation programming language,Python is an object oriented programming language,Easy to Learn,617ec1d8-570f-e282-af46-6b87fd9a8dae,,,,,,,,Video2-2(Control),,,,Video2-2(Control)
10/31/21 10:19,10/31/21 10:23,IP Address,68.0.24.105,100,232,TRUE,10/31/21 10:23,R_3oTqFe6v8l4jV0p,,,,,36.83070374,-76.31459808,anonymous,EN,1.561,10.43,11.5,10,Female,30-40,"Some College, No degree",,,,,,,,,75.588,183.391,190.856,13,,,,,,,,,,,,,1.5,8.335,10.812,11,2 - slightly enthusiastic,2 - slightly professional,2 - slightly knowledgeable,2 - slightly clearly,2 - slightly effective,2.1,14.084,15.886,10,Introduction to Python,Web Applications,B. A flexible programming language,Python was created by Guido van Rossum in 1991,Wonderful Community,617ec232-dcc2-144a-073e-7efc6836ff20,,,,,,,,Video2-1(Treatment),,,,Video2-1(Treatment)
10/31/21 10:19,10/31/21 10:23,IP Address,70.118.203.67,100,288,TRUE,10/31/21 10:23,R_0ePUcdKMDE2jNe1,,,,,39.30369568,-94.93219757,anonymous,EN,23.201,29.095,30.187,6,Female,30-40,Bachelor‰Ûªs degree,,,,,26.858,227.956,228.779,3,,,,,,,,,,,,,,,,,3.96,11.505,12.402,10,3 - moderately enthusiastic,1 - not professional,1 - not knowledgeable,3 - moderately clearly,2 - slightly effective,0.901,11.467,12.327,11,Introduction to Python,Artificial intelligence projects,B. A flexible programming language,Python was created by Guido van Rossum in 1991,Wonderful Community,617ec1eb-b6ef-d9ca-3315-3d87662d4232,,,,,,,,Video1-2(Control),,,,Video1-2(Control)
10/31/21 10:20,10/31/21 10:24,IP Address,216.71.37.227,100,259,TRUE,10/31/21 10:24,R_2owAeGSUxdN9fQR,,,,,44.14149475,-103.2052002,anonymous,EN,1.279,9.02,10.883,12,Female,40-50,Associate‰Ûªs degree,,,,,,,,,,,,,171.124,194.16,194.553,3,,,,,,,,,16.919,27.348,27.902,15,4 - very enthusiastic,4 - very professional,5 - extremely knowledgeable,4 - very clearly,4 - very effective,0.721,21.825,22.495,21,Introduction to Python,Web Applications,B. A flexible programming language,Python is an object oriented programming language,Wonderful Community,617ec24d-0196-cb25-2946-ce13f2eb1b03,,,,,,,,,Video2-2(Control),,,Video2-2(Control)
10/31/21 10:20,10/31/21 10:24,IP Address,172.58.191.104,100,253,TRUE,10/31/21 10:24,R_3MR7piXWpVNth0P,,,,,38.88420105,-76.99410248,anonymous,EN,2.055,9.976,10.858,7,Female,30-40,"Some College, No degree",,,,,,,,,,,,,,,,,,,,,0,0,199.483,0,3.803,10.376,11.309,9,3 - moderately enthusiastic,3 - moderately professional,3 - moderately knowledgeable,3 - moderately clearly,3 - moderately effective,9.103,22.623,28.906,10,Introduction to Python,All of the above,All of the above,Python is an interpreted programming language,Great Starter Language,617ec245-b670-2021-0325-4478809942fa,,,,,,,,Video3-2(Control),,,,Video3-2(Control)
10/31/21 10:20,10/31/21 10:24,IP Address,67.149.96.247,100,285,TRUE,10/31/21 10:24,R_2OOrkWDRLnqso6u,,,,,42.55799866,-82.9980011,anonymous,EN,5.242,11.226,11.931,10,Female,50+,"Some College, No degree",3.238,191.872,193.657,16,,,,,,,,,,,,,,,,,,,,,3.562,25.627,26.293,24,3 - moderately enthusiastic,3 - moderately professional,4 - very knowledgeable,4 - very clearly,4 - very effective,0.882,48.482,49.847,27,Introduction to Python,All of the above,Both A & B,Python was created by Guido van Rossum in 1991,Great Advanced Language,617ec229-b8bc-1ec0-ba49-9a98a02e7ecd,,,,,,,,,,Video1-1(Treatment),,Video1-1(Treatment)
10/31/21 10:20,10/31/21 10:25,IP Address,172.58.197.84,100,252,TRUE,10/31/21 10:25,R_1IlSEHB9NqCZREX,,,,,41.44529724,-81.69909668,anonymous,EN,1.093,11.676,12.221,7,Female,30-40,Less than High school,,,,,,,,,,,,,,,,,12.413,185.595,195.436,18,,,,,2.108,15.27,16.02,14,3 - moderately enthusiastic,3 - moderately professional,3 - moderately knowledgeable,1 - not clearly,2 - slightly effective,3.002,23.202,23.8,15,Introduction to Python,All of the above,Both A & B,Python is an interpreted programming language,Easy to Learn,617ec247-11a8-0b71-22a7-adfdf073ffc7,,,,,,,,Video3-1(Treatment),,,,Video3-1(Treatment)
10/31/21 10:20,10/31/21 10:25,IP Address,172.58.219.199,100,289,TRUE,10/31/21 10:25,R_2DOCQLwZmHAitIO,,,,,42.35620117,-71.06310272,anonymous,EN,13.356,22.427,23.024,9,Male,30-40,High school diploma,,,,,,,,,4.384,4.384,206.051,1,,,,,,,,,,,,,2.462,14.563,15.158,13,3 - moderately enthusiastic,4 - very professional,5 - extremely knowledgeable,5 - extremely clearly,4 - very effective,1.223,39.283,40.78,20,Introduction to Python,All of the above,Both A & B,Python was created by Guido van Rossum in 1991,Wonderful Community,617ec239-a110-8266-7764-e127185c10ab,,,Video2-1(Treatment),,,,,,,,,Video2-1(Treatment)
10/31/21 10:20,10/31/21 10:25,IP Address,24.241.79.233,100,300,TRUE,10/31/21 10:25,R_1CefRz8JH3pLb8L,,,,,38.54910278,-90.16010284,anonymous,EN,3.484,10.494,12.301,3,Female,50+,High school diploma,,,,,,,,,,,,,0,0,191.857,0,,,,,,,,,5.528,21.141,23.036,7,3 - moderately enthusiastic,3 - moderately professional,4 - very knowledgeable,5 - extremely clearly,4 - very effective,6.532,64.497,66.218,7,Introduction to Python,Web Applications,A. A programming language designed to be human readable,Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages,Easy to Learn,617ec212-6ab6-d249-d34d-89247e06eaba,,,,,,,,,,Video2-2(Control),,Video2-2(Control)
10/31/21 10:21,10/31/21 10:25,IP Address,172.58.169.241,100,246,TRUE,10/31/21 10:25,R_331rpTOYIzpvIGD,,,,,28.63439941,-81.62210083,anonymous,EN,11.144,15.649,16.401,6,Female,20-30,"Some College, No degree",,,,,11.173,192.155,192.855,5,,,,,,,,,,,,,,,,,0.976,9.389,10.748,16,3 - moderately enthusiastic,3 - moderately professional,3 - moderately knowledgeable,3 - moderately clearly,3 - moderately effective,7.592,21.677,22.299,16,Introduction to Python,All of the above,All of the above,Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages,Great Advanced Language,617ec2a4-4735-65ef-6b8f-707cab410bbd,,,,,,,Video1-2(Control),,,,,Video1-2(Control)
10/31/21 10:20,10/31/21 10:25,IP Address,131.150.18.215,100,318,TRUE,10/31/21 10:25,R_239tNg4U2X8tSz0,,,,,46.57780457,-87.4552002,anonymous,EN,1.285,12.342,13.332,16,Female,30-40,"Some College, No degree",1.456,1.976,210.254,2,,,,,,,,,,,,,,,,,,,,,4.066,20.619,21.954,5,3 - moderately enthusiastic,4 - very professional,4 - very knowledgeable,3 - moderately clearly,3 - moderately effective,2.858,67.754,68.442,7,Introduction to Python,All of the above,Both A & B,Python is an object oriented programming language,Great Advanced Language,617ec23f-c6a1-87c5-d25e-272db7932cff,,,,,,,,Video1-1(Treatment),,,,Video1-1(Treatment)
10/31/21 10:20,10/31/21 10:25,IP Address,67.235.134.124,100,325,TRUE,10/31/21 10:25,R_2VqBPnSlvFQGJEG,,,,,28.80099487,-81.73400116,anonymous,EN,20.101,26.734,27.157,8,Female,30-40,Associate‰Ûªs degree,,,,,,,,,,,,,7.109,75.725,212.258,5,,,,,,,,,19.933,30.425,31.083,14,2 - slightly enthusiastic,5 - extremely professional,4 - very knowledgeable,2 - slightly clearly,3 - moderately effective,15.001,41.232,41.734,15,Introduction to Python,All of the above,Both A & B,Python is an object oriented programming language,Wonderful Community,617ec226-4f50-6d26-6f7a-ce76e8f53fb7,,,,,,,,Video2-2(Control),,,,Video2-2(Control)
10/31/21 10:20,10/31/21 10:25,IP Address,172.56.23.243,100,332,TRUE,10/31/21 10:25,R_2PvBbSNMElXjQhn,,,,,41.35710144,-72.93340302,anonymous,EN,0.323,13.918,15.151,8,Male,20-30,High school diploma,,,,,,,,,,,,,,,,,,,,,0,0,207.778,0,3.239,32.775,34.011,15,3 - moderately enthusiastic,4 - very professional,3 - moderately knowledgeable,3 - moderately clearly,3 - moderately effective,8.501,51.52,55.325,20,Introduction to Python,All of the above,Both A & B,Python is an object oriented programming language,Wonderful Community,617ec1fd-c37a-d0c1-798e-3e87a1a176e3,,Video3-2(Control),,,,,,,,,,Video3-2(Control)
10/31/21 10:20,10/31/21 10:26,IP Address,97.85.197.241,100,306,TRUE,10/31/21 10:26,R_3MassJuUEP7PG7v,,,,,39.70379639,-91.38410187,anonymous,EN,2.144,17.245,18.826,10,Female,20-30,"Some College, No degree",3.039,90.002,192.998,2,,,,,,,,,,,,,,,,,,,,,1.994,16.558,18.081,17,2 - slightly enthusiastic,5 - extremely professional,5 - extremely knowledgeable,4 - very clearly,3 - moderately effective,4.3,69.433,70.458,21,Introduction to Python,All of the above,Both A & B,Python was created by Guido van Rossum in 1991,Great Advanced Language,617ec287-62ce-59e4-2228-43421cd73a19,,,,,,,Video1-1(Treatment),,,,,Video1-1(Treatment)
10/31/21 10:21,10/31/21 10:26,IP Address,172.58.157.135,100,268,TRUE,10/31/21 10:26,R_3DbwV06tlwIdrUD,,,,,35.229599,-80.84300232,anonymous,EN,8.11,21.84,22.402,9,Female,30-40,"Some College, No degree",,,,,,,,,,,,,,,,,2.399,190.705,191.72,45,,,,,8.085,27.688,28.445,18,2 - slightly enthusiastic,4 - very professional,5 - extremely knowledgeable,5 - extremely clearly,2 - slightly effective,4.001,19.23,20.099,13,Introduction to Python,Web Applications,A. A programming language designed to be human readable,Python was created by Guido van Rossum in 1991,Great Starter Language,617ec2b3-b8e7-d643-62ea-0df96c3e5d44,,,,,,,,Video3-1(Treatment),,,,Video3-1(Treatment)
10/31/21 10:22,10/31/21 10:26,IP Address,68.169.141.127,100,247,TRUE,10/31/21 10:26,R_1dzRLLSCfZui1Ra,,,,,35.09559631,-85.17690277,anonymous,EN,1.118,4.664,11.092,6,Female,40-50,High school diploma,3.424,108.362,192.923,3,,,,,,,,,,,,,,,,,,,,,3.388,15.738,16.448,10,3 - moderately enthusiastic,3 - moderately professional,3 - moderately knowledgeable,3 - moderately clearly,3 - moderately effective,5.146,23.713,24.85,12,Introduction to Python,Web Applications,Both A & B,Python is an interpreted programming language,Great Starter Language,617ec2a0-c5e0-b470-4403-c4abac39f976,,,,,,,,,Video1-1(Treatment),,,Video1-1(Treatment)
